text,emotion
I'm sick of redoing this same section over and over,Frustrated
I understand this topic really well now again,Confident
I'm stuck on this problem and don't know where to start right now,Confused
I'm sure I'll do well on this exam,Confident
I'm sure I'll do well on this exam during class,Confident
I've tried this problem five times and still can't solve it today,Frustrated
"Can you explain that step again, it doesn't make sense right now",Confused
"This makes total sense, I can explain it to others again",Confident
Why does this keep failing no matter what I try seriously,Frustrated
None of this is making sense to me right now again,Confused
I want to know more about how this algorithm works honestly,Curious
I'm sick of redoing this same section over and over during class,Frustrated
I solved the whole problem set without help again,Confident
I feel ready for the presentation tomorrow honestly,Confident
"This is fascinating, what happens if we change this variable today",Curious
I'm sick of redoing this same section over and over again,Frustrated
I have no idea what the professor just said honestly,Confused
"Same review material again, I've heard this five times again",Bored
I can't believe I have three assignments due tomorrow honestly,Frustrated
I'm just waiting for this class to end already today,Bored
I'm just waiting for this class to end already seriously,Bored
I want to know more about how this algorithm works today,Curious
"This makes total sense, I can explain it to others during class",Confident
"I can't focus on this presentation, it's dragging on honestly",Bored
I'm confident I answered all the quiz questions correctly right now,Confident
This textbook chapter is putting me to sleep right now,Bored
I don't understand this formula at all during class,Confused
This textbook chapter is putting me to sleep again,Bored
I'm sick of redoing this same section over and over right now,Frustrated
"I keep zoning out during this class, nothing is new",Bored
I keep getting a different answer than the textbook seriously,Confused
"Wait, why does this formula work like that seriously",Curious
I understand this topic really well now right now,Confident
I'm confident I answered all the quiz questions correctly today,Confident
I'm just waiting for this class to end already seriously,Bored
What would happen if we applied this to a different problem,Curious
"This makes total sense, I can explain it to others",Confident
I have no idea what the professor just said seriously,Confused
I wonder how this concept applies to real projects seriously,Curious
"I'm so annoyed, the code keeps throwing the same error",Frustrated
I solved the whole problem set without help,Confident
I keep getting a different answer than the textbook,Confused
"Same review material again, I've heard this five times again",Bored
I don't understand this formula at all honestly,Confused
"I can't focus on this presentation, it's dragging on honestly",Bored
I keep getting a different answer than the textbook today,Confused
I solved the whole problem set without help,Confident
I wonder how this concept applies to real projects right now,Curious
I have no idea what the professor just said during class,Confused
I want to know more about how this algorithm works during class,Curious
I'd like to explore this idea further after class honestly,Curious
"This lecture is so slow, I already know all of this today",Bored
I solved the whole problem set without help seriously,Confident
This textbook chapter is putting me to sleep honestly,Bored
I want to know more about how this algorithm works during class,Curious
I'm sick of redoing this same section over and over seriously,Frustrated
How does this relate to what we learned last week during class,Curious
"I can't focus on this presentation, it's dragging on during class",Bored
"This is fascinating, what happens if we change this variable seriously",Curious
How does this relate to what we learned last week today,Curious
"Wait, how did we get this answer, I'm lost again",Confused
I've tried this problem five times and still can't solve it seriously,Frustrated
Why does this keep failing no matter what I try,Frustrated
I'm stuck on this problem and don't know where to start right now,Confused
I have no idea what the professor just said seriously,Confused
This textbook chapter is putting me to sleep again,Bored
I want to know more about how this algorithm works today,Curious
This textbook chapter is putting me to sleep during class,Bored
This assignment is taking forever and nothing works,Frustrated
"This is fascinating, what happens if we change this variable honestly",Curious
I solved the whole problem set without help,Confident
"Can you explain that step again, it doesn't make sense honestly",Confused
"Wait, why does this formula work like that right now",Curious
What would happen if we applied this to a different problem again,Curious
How does this relate to what we learned last week during class,Curious
"I keep zoning out during this class, nothing is new during class",Bored
"Can you explain that step again, it doesn't make sense again",Confused
"I'm so annoyed, the code keeps throwing the same error honestly",Frustrated
This textbook chapter is putting me to sleep honestly,Bored
"That's interesting, can we go deeper into this topic seriously",Curious
I'm just waiting for this class to end already today,Bored
I don't understand this formula at all,Confused
I'm sure I'll do well on this exam honestly,Confident
I wonder how this concept applies to real projects right now,Curious
I understand this topic really well now seriously,Confident
I want to know more about how this algorithm works today,Curious
"That's interesting, can we go deeper into this topic during class",Curious
What would happen if we applied this to a different problem again,Curious
Nothing about this topic holds my attention today,Bored
I'm sick of redoing this same section over and over seriously,Frustrated
This professor's instructions never make sense during class,Frustrated
This professor's instructions never make sense during class,Frustrated
"This lecture is so slow, I already know all of this seriously",Bored
None of this is making sense to me right now seriously,Confused
How does this relate to what we learned last week seriously,Curious
What would happen if we applied this to a different problem right now,Curious
"I keep zoning out during this class, nothing is new seriously",Bored
I'm sick of redoing this same section over and over again,Frustrated
Why does this keep failing no matter what I try seriously,Frustrated
Nothing about this group project is going smoothly seriously,Frustrated
I keep getting a different answer than the textbook honestly,Confused
I understand this topic really well now today,Confident
I understand this topic really well now,Confident
This homework is repetitive and uninteresting right now,Bored
I've tried this problem five times and still can't solve it during class,Frustrated
What would happen if we applied this to a different problem today,Curious
"Can you explain that step again, it doesn't make sense",Confused
I've tried this problem five times and still can't solve it right now,Frustrated
"This lecture is so slow, I already know all of this during class",Bored
"Wait, why does this formula work like that today",Curious
I'm sure I'll do well on this exam honestly,Confident
"I'm so annoyed, the code keeps throwing the same error honestly",Frustrated
I've got this assignment figured out completely during class,Confident
I don't understand this formula at all during class,Confused
This homework is repetitive and uninteresting right now,Bored
I'm confident I answered all the quiz questions correctly,Confident
"I'm so annoyed, the code keeps throwing the same error right now",Frustrated
I keep getting a different answer than the textbook right now,Confused
I wonder how this concept applies to real projects honestly,Curious
I'm sure I'll do well on this exam honestly,Confident
This professor's instructions never make sense again,Frustrated
I know exactly how to approach this project seriously,Confident
I can't believe I have three assignments due tomorrow seriously,Frustrated
I understand this topic really well now during class,Confident
"Wait, why does this formula work like that seriously",Curious
"This makes total sense, I can explain it to others right now",Confident
What would happen if we applied this to a different problem seriously,Curious
"This makes total sense, I can explain it to others today",Confident
"I can't focus on this presentation, it's dragging on honestly",Bored
None of this is making sense to me right now seriously,Confused
This assignment is taking forever and nothing works again,Frustrated
"Wait, why does this formula work like that right now",Curious
I don't understand this formula at all seriously,Confused
I've got this assignment figured out completely right now,Confident
"I keep zoning out during this class, nothing is new seriously",Bored
This textbook chapter is putting me to sleep during class,Bored
I keep getting a different answer than the textbook again,Confused
This assignment is taking forever and nothing works right now,Frustrated
I don't understand this formula at all,Confused
"I keep zoning out during this class, nothing is new",Bored
"Wait, how did we get this answer, I'm lost",Confused
Nothing about this group project is going smoothly seriously,Frustrated
This assignment is taking forever and nothing works seriously,Frustrated
This assignment instructions are so unclear again,Confused
This professor's instructions never make sense today,Frustrated
I can't believe I have three assignments due tomorrow today,Frustrated
"This makes total sense, I can explain it to others",Confident
I don't understand this formula at all today,Confused
I don't understand this formula at all during class,Confused
I'm sure I'll do well on this exam again,Confident
I've tried this problem five times and still can't solve it again,Frustrated
This professor's instructions never make sense today,Frustrated
I want to know more about how this algorithm works today,Curious
Nothing about this topic holds my attention today again,Bored
I solved the whole problem set without help right now,Confident
I've tried this problem five times and still can't solve it honestly,Frustrated
"This makes total sense, I can explain it to others",Confident
This assignment instructions are so unclear during class,Confused
I'm confident I answered all the quiz questions correctly honestly,Confident
I'm confident I answered all the quiz questions correctly honestly,Confident
This assignment instructions are so unclear honestly,Confused
I feel ready for the presentation tomorrow seriously,Confident
Nothing about this group project is going smoothly right now,Frustrated
"Wait, how did we get this answer, I'm lost",Confused
I wonder how this concept applies to real projects today,Curious
I'm stuck on this problem and don't know where to start honestly,Confused
This textbook chapter is putting me to sleep seriously,Bored
Nothing about this topic holds my attention today again,Bored
This textbook chapter is putting me to sleep seriously,Bored
I wonder how this concept applies to real projects honestly,Curious
I keep getting a different answer than the textbook seriously,Confused
"I keep zoning out during this class, nothing is new again",Bored
